Pcp_File_Version=4
0
161 0 0 0        x  h  Mat  Lay  Beta  Axz  Bxz  Dxz  Temp Conc SConc
1     0.0  0    1    1     0  1.0  1.0  1.0  20.0           
2    -0.5  0    1    1     0  1.0  1.0  1.0  20.0           
3    -1.0  0    1    1     0  1.0  1.0  1.0  20.0           
4    -1.5  0    1    1     0  1.0  1.0  1.0  20.0           
5    -2.0  0    1    1     0  1.0  1.0  1.0  20.0           
6    -2.5  0    1    1     0  1.0  1.0  1.0  20.0           
7    -3.0  0    1    1     0  1.0  1.0  1.0  20.0           
8    -3.5  0    1    1     0  1.0  1.0  1.0  20.0           
9    -4.0  0    1    1     0  1.0  1.0  1.0  20.0           
10   -4.5  0    1    1     0  1.0  1.0  1.0  20.0           
11   -5.0  0    1    1     0  1.0  1.0  1.0  20.0           
12   -5.5  0    1    1     0  1.0  1.0  1.0  20.0           
13   -6.0  0    1    1     0  1.0  1.0  1.0  20.0           
14   -6.5  0    1    1     0  1.0  1.0  1.0  20.0           
15   -7.0  0    1    1     0  1.0  1.0  1.0  20.0           
16   -7.5  0    1    1     0  1.0  1.0  1.0  20.0           
17   -8.0  0    1    1     0  1.0  1.0  1.0  20.0           
18   -8.5  0    1    1     0  1.0  1.0  1.0  20.0           
19   -9.0  0    1    1     0  1.0  1.0  1.0  20.0           
20   -9.5  0    1    1     0  1.0  1.0  1.0  20.0           
21  -10.0  0    1    1     0  1.0  1.0  1.0  20.0           
22  -10.5  0    1    1     0  1.0  1.0  1.0  20.0           
23  -11.0  0    1    1     0  1.0  1.0  1.0  20.0           
24  -11.5  0    1    1     0  1.0  1.0  1.0  20.0           
25  -12.0  0    1    1     0  1.0  1.0  1.0  20.0           
26  -12.5  0    1    1     0  1.0  1.0  1.0  20.0           
27  -13.0  0    1    1     0  1.0  1.0  1.0  20.0           
28  -13.5  0    1    1     0  1.0  1.0  1.0  20.0           
29  -14.0  0    1    1     0  1.0  1.0  1.0  20.0           
30  -14.5  0    1    1     0  1.0  1.0  1.0  20.0           
31  -15.0  0    1    1     0  1.0  1.0  1.0  20.0           
32  -15.5  0    1    1     0  1.0  1.0  1.0  20.0           
33  -16.0  0    1    1     0  1.0  1.0  1.0  20.0           
34  -16.5  0    1    1     0  1.0  1.0  1.0  20.0           
35  -17.0  0    1    1     0  1.0  1.0  1.0  20.0           
36  -17.5  0    1    1     0  1.0  1.0  1.0  20.0           
37  -18.0  0    1    1     0  1.0  1.0  1.0  20.0           
38  -18.5  0    1    1     0  1.0  1.0  1.0  20.0           
39  -19.0  0    1    1     0  1.0  1.0  1.0  20.0           
40  -19.5  0    1    1     0  1.0  1.0  1.0  20.0           
41  -20.0  0    1    1     0  1.0  1.0  1.0  20.0           
42  -20.5  0    1    1     0  1.0  1.0  1.0  20.0           
43  -21.0  0    1    1     0  1.0  1.0  1.0  20.0           
44  -21.5  0    1    1     0  1.0  1.0  1.0  20.0           
45  -22.0  0    1    1     0  1.0  1.0  1.0  20.0           
46  -22.5  0    1    1     0  1.0  1.0  1.0  20.0           
47  -23.0  0    1    1     0  1.0  1.0  1.0  20.0           
48  -23.5  0    1    1     0  1.0  1.0  1.0  20.0           
49  -24.0  0    1    1     0  1.0  1.0  1.0  20.0           
50  -24.5  0    1    1     0  1.0  1.0  1.0  20.0           
51  -25.0  0    1    1     0  1.0  1.0  1.0  20.0           
52  -25.5  0    1    1     0  1.0  1.0  1.0  20.0           
53  -26.0  0    1    1     0  1.0  1.0  1.0  20.0           
54  -26.5  0    1    1     0  1.0  1.0  1.0  20.0           
55  -27.0  0    1    1     0  1.0  1.0  1.0  20.0           
56  -27.5  0    1    1     0  1.0  1.0  1.0  20.0           
57  -28.0  0    1    1     0  1.0  1.0  1.0  20.0           
58  -28.5  0    1    1     0  1.0  1.0  1.0  20.0           
59  -29.0  0    1    1     0  1.0  1.0  1.0  20.0           
60  -29.5  0    1    1     0  1.0  1.0  1.0  20.0           
61  -30.0  0    1    1     0  1.0  1.0  1.0  20.0           
