 ******* Program HYDRUS
 ******* Model of Soil Moisture at SES Site                                      
 Date:  -1. 0.    Time: -88:40:**
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-05  0.10000E-05    2        2    -4    -5     T
        2  0.2000000E-05  0.10000E-05    2        4    -4    -5     T
        3  0.3300000E-05  0.13000E-05    2        6    -4    -5     T
        4  0.4990000E-05  0.16900E-05    2        8    -4    -5     T
        5  0.7186999E-05  0.21970E-05    2       10    -4    -5     T
        6  0.1004310E-04  0.28561E-05    2       12    -4    -5     T
        7  0.1375603E-04  0.37129E-05    2       14    -4    -5     T
        8  0.1858283E-04  0.48268E-05    2       16    -4    -5     T
        9  0.2485768E-04  0.62748E-05    2       18    -4    -5     T
       10  0.3301499E-04  0.81573E-05    2       20    -4    -5     T
       11  0.4361948E-04  0.10604E-04    2       22    -4    -5     T
       12  0.5740533E-04  0.13786E-04    2       24    -4    -5     T
       13  0.7532692E-04  0.17922E-04    2       26    -4    -5     T
       14  0.9862500E-04  0.23298E-04    2       28    -4    -5     T
       15  0.1289125E-03  0.30287E-04    2       30    -4    -5     T
       16  0.1682862E-03  0.39374E-04    2       32    -4    -5     T
       17  0.2194721E-03  0.51186E-04    2       34    -4    -5     T
       18  0.2860137E-03  0.66542E-04    2       36    -4    -5     T
       19  0.3752620E-03  0.89248E-04    2       38    -4    -5     T
       20  0.4793850E-03  0.10412E-03    2       40    -4    -5     T
       21  0.6095388E-03  0.13015E-03    2       42    -4    -5     T
       22  0.8047694E-03  0.19523E-03    2       44    -4    -5     T
       23  0.1000000E-02  0.19523E-03    2       46    -4    -5     T
       24  0.1247064E-02  0.24706E-03    2       48    -4    -5     T
       25  0.1568248E-02  0.32118E-03    2       50    -4    -5     T
       26  0.1985787E-02  0.41754E-03    2       52    -4    -5     T
       27  0.2528587E-02  0.54280E-03    2       54    -4    -5     T
       28  0.3234227E-02  0.70564E-03    2       56    -4    -5     T
       29  0.4151560E-02  0.91733E-03    2       58    -4    -5     T
       30  0.5344092E-02  0.11925E-02    2       60    -4    -5     T
       31  0.6894384E-02  0.15503E-02    2       62    -4    -5     T
       32  0.8909763E-02  0.20154E-02    2       64    -4    -5     T
       33  0.1152976E-01  0.26200E-02    2       66    -4    -5     T
       34  0.1493575E-01  0.34060E-02    2       68    -4    -5     T
       35  0.1936353E-01  0.44278E-02    2       70    -4    -5     T
       36  0.2511966E-01  0.57561E-02    2       72    -4    -5     T
       37  0.3260262E-01  0.74830E-02    2       74    -4    -5     T
       38  0.4233046E-01  0.97278E-02    2       76    -4    -5     T
       39  0.5497667E-01  0.12646E-01    2       78    -4    -5     T
       40  0.7141673E-01  0.16440E-01    2       80    -4    -5     T
       41  0.9278881E-01  0.21372E-01    2       82    -4    -5     T
       42  0.1205725E+00  0.27784E-01    2       84    -4    -5     T
       43  0.1566913E+00  0.36119E-01    2       86    -4    -5     T
       44  0.2036458E+00  0.46954E-01    2       88    -4    -5     T
       45  0.2536458E+00  0.50000E-01    2       90    -4    -5     T
       46  0.3036458E+00  0.50000E-01    2       92    -4    -5     T
       47  0.3536458E+00  0.50000E-01    2       94    -4    -5     T
       48  0.4036458E+00  0.50000E-01    2       96    -4    -5     T
       49  0.4536458E+00  0.50000E-01    2       98    -4    -5     T
       50  0.5036458E+00  0.50000E-01    2      100    -4    -5     T
       51  0.5536458E+00  0.50000E-01    2      102    -4    -5     T
       52  0.6036458E+00  0.50000E-01    2      104    -4    -5     T
       53  0.6536458E+00  0.50000E-01    2      106    -4    -5     T
       54  0.7036458E+00  0.50000E-01    2      108    -4    -5     T
       55  0.7536458E+00  0.50000E-01    2      110    -4    -5     T
       56  0.8036458E+00  0.50000E-01    2      112    -4    -5     T
       57  0.8536458E+00  0.50000E-01    2      114    -4    -5     T
       58  0.9036458E+00  0.50000E-01    2      116    -4    -5     T
       59  0.9536458E+00  0.50000E-01    2      118    -4    -5     T
       60  0.1003646E+01  0.50000E-01    2      120    -4    -5     T
       61  0.1053281E+01  0.49635E-01    2      122    -4    -5     T
       62  0.1102917E+01  0.49635E-01    2      124    -4    -5     T
       63  0.1152552E+01  0.49635E-01    2      126    -4    -5     T
       64  0.1202187E+01  0.49635E-01    2      128    -4    -5     T
       65  0.1251823E+01  0.49635E-01    2      130    -4    -5     T
       66  0.1301458E+01  0.49635E-01    2      132    -4    -5     T
       67  0.1351094E+01  0.49635E-01    2      134    -4    -5     T
       68  0.1400729E+01  0.49635E-01    2      136    -4    -5     T
       69  0.1450365E+01  0.49635E-01    2      138    -4    -5     T
       70  0.1500000E+01  0.49635E-01    2      140    -4    -5     T
       71  0.1550000E+01  0.50000E-01    2      142    -4    -5     T
       72  0.1600000E+01  0.50000E-01    2      144    -4    -5     T
       73  0.1650000E+01  0.50000E-01    2      146    -4    -5     T
       74  0.1700000E+01  0.50000E-01    2      148    -4    -5     T
       75  0.1750000E+01  0.50000E-01    2      150    -4    -5     T
       76  0.1800000E+01  0.50000E-01    2      152    -4    -5     T
       77  0.1850000E+01  0.50000E-01    2      154    -4    -5     T
       78  0.1900000E+01  0.50000E-01    2      156    -4    -5     T
       79  0.1950000E+01  0.50000E-01    2      158    -4    -5     T
       80  0.2000000E+01  0.50000E-01    2      160    -4    -5     T
       81  0.2050000E+01  0.50000E-01    2      162    -4    -5     T
       82  0.2100000E+01  0.50000E-01    2      164    -4    -5     T
       83  0.2150000E+01  0.50000E-01    2      166    -4    -5     T
       84  0.2200000E+01  0.50000E-01    2      168    -4    -5     T
       85  0.2250000E+01  0.50000E-01    2      170    -4    -5     T
       86  0.2300000E+01  0.50000E-01    2      172    -4    -5     T
       87  0.2350000E+01  0.50000E-01    2      174    -4    -5     T
       88  0.2400000E+01  0.50000E-01    2      176    -4    -5     T
       89  0.2450000E+01  0.50000E-01    2      178    -4    -5     T
       90  0.2500000E+01  0.50000E-01    2      180    -4    -5     T
       91  0.2550000E+01  0.50000E-01    2      182    -4    -5     T
       92  0.2600000E+01  0.50000E-01    2      184    -4    -5     T
       93  0.2650000E+01  0.50000E-01    2      186    -4    -5     T
       94  0.2700000E+01  0.50000E-01    2      188    -4    -5     T
       95  0.2750000E+01  0.50000E-01    2      190    -4    -5     T
       96  0.2800000E+01  0.50000E-01    2      192    -4    -5     T
       97  0.2850000E+01  0.50000E-01    2      194    -4    -5     T
       98  0.2900000E+01  0.50000E-01    2      196    -4    -5     T
       99  0.2950000E+01  0.50000E-01    2      198    -4    -5     T
      100  0.3000000E+01  0.50000E-01    2      200    -4    -5     T
      101  0.3050000E+01  0.50000E-01    2      202    -4    -5     T
      102  0.3100000E+01  0.50000E-01    2      204    -4    -5     T
      103  0.3150000E+01  0.50000E-01    2      206    -4    -5     T
      104  0.3200000E+01  0.50000E-01    2      208    -4    -5     T
      105  0.3250000E+01  0.50000E-01    2      210    -4    -5     T
